year,Sex,Deprivation fifth,geography,Healthy weight or underweight,Healthy weight or underweight (%),Healthy weight or underweight (95% CI),Overweight or obese,Overweight or obese (%),Overweight or obese (95% CI),Underweight,Underweight (%),Underweight (95% CI),Healthy weight,Healthy weight (%),Healthy weight (95% CI),Overweight not obese,Overweight not obese (%),Overweight not obese (95% CI),Obese,Obese (%),Obese        (95% CI),link,Tab
2019,Total,Total,Wales,"23,199",73.1,(72.6 to 73.5),"8,557",26.9,(26.5 to 27.4),220,0.7,(0.6 to 0.8),"22,979",72.4,(71.9 to 72.9),"4,569",14.4,(14.0 to 14.8),"3,988",12.6,(12.2 to 12.9),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Total,Least deprived fifth,Wales,"4,297",79.1,(78.0 to 80.1),"1,138",20.9,(19.9 to 22.0),42,0.8,(0.6 to 1.0),"4,255",78.3,(77.2 to 79.4),688,12.7,(11.8 to 13.6),450,8.3,(7.6 to 9.0),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Total,Next least deprived,Wales,"4,282",74,(72.8 to 75.1),"1,507",26,(24.9 to 27.2),27,0.5,(0.3 to 0.7),"4,255",73.5,(72.3 to 74.6),835,14.4,(13.5 to 15.4),672,11.6,(10.8 to 12.5),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Total,Middle deprived,Wales,"4,343",73.3,(72.2 to 74.4),"1,580",26.7,(25.6 to 27.8),40,0.7,(0.5 to 0.9),"4,303",72.6,(71.5 to 73.8),836,14.1,(13.3 to 15.0),744,12.6,(11.7 to 13.4),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Total,Next most deprived,Wales,"4,694",70.9,(69.8 to 72.0),"1,922",29.1,(28.0 to 30.2),49,0.7,(0.6 to 1.0),"4,645",70.2,(69.1 to 71.3),"1,014",15.3,(14.5 to 16.2),908,13.7,(12.9 to 14.6),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Total,Most deprived fifth,Wales,"5,583",69.8,(68.8 to 70.8),"2,410",30.2,(29.2 to 31.2),62,0.8,(0.6 to 1.0),"5,521",69.1,(68.1 to 70.1),"1,196",15,(14.2 to 15.8),"1,214",15.2,(14.4 to 16.0),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Total,Total,Betsi Cadwaladr UHB,"4,934",71.3,(70.2 to 72.3),"1,990",28.7,(27.7 to 29.8),39,0.6,(0.4 to 0.8),"4,895",70.7,(69.6 to 71.8),"1,104",15.9,(15.1 to 16.8),886,12.8,(12.0 to 13.6),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Total,Total,Powys THB,794,71.9,(69.1 to 74.4),311,28.1,(25.6 to 30.9),8,0.7,(0.4 to 1.4),786,71.1,(68.4 to 73.7),154,13.9,(12.0 to 16.1),157,14.2,(12.3 to 16.4),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Total,Total,Hywel Dda UHB,"2,596",70.9,(69.4 to 72.3),"1,068",29.1,(27.7 to 30.6),11,0.3,(0.2 to 0.5),"2,585",70.6,(69.1 to 72.0),593,16.2,(15.0 to 17.4),475,13,(11.9 to 14.1),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Total,Total,Swansea Bay UHB,"2,816",72.8,(71.4 to 74.2),"1,053",27.2,(25.8 to 28.6),23,0.6,(0.4 to 0.9),"2,793",72.2,(70.8 to 73.6),549,14.2,(13.1 to 15.3),504,13,(12.0 to 14.1),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Total,Total,Cardiff and Vale UHB,"3,784",78.1,(76.9 to 79.3),"1,059",21.9,(20.7 to 23.1),70,1.4,(1.1 to 1.8),"3,714",76.7,(75.5 to 77.9),566,11.7,(10.8 to 12.6),493,10.2,(9.4 to 11.1),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Total,Total,Cwm Taf Morgannwg UHB,"3,429",70.7,(69.4 to 71.9),"1,423",29.3,(28.1 to 30.6),25,0.5,(0.3 to 0.8),"3,404",70.2,(68.9 to 71.4),715,14.7,(13.8 to 15.8),708,14.6,(13.6 to 15.6),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Total,Total,Aneurin Bevan UHB,"4,846",74.6,(73.5 to 75.6),"1,653",25.4,(24.4 to 26.5),44,0.7,(0.5 to 0.9),"4,802",73.9,(72.8 to 74.9),888,13.7,(12.9 to 14.5),765,11.8,(11.0 to 12.6),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Prevalance all
2019,Girls,Total,Wales,"11,371",73.4,(72.7 to 74.1),"4,128",26.6,(25.9 to 27.3),71,0.5,(0.4 to 0.6),"11,300",72.9,(72.2 to 73.6),"2,208",14.2,(13.7 to 14.8),"1,920",12.4,(11.9 to 12.9),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Girls
2019,Girls,Least deprived fifth,Wales,"2,075",79.6,(78.0 to 81.1),531,20.4,(18.9 to 22.0),10,0.4,(0.2 to 0.7),"2,065",79.2,(77.6 to 80.8),331,12.7,(11.5 to 14.0),200,7.7,(6.7 to 8.8),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Girls
2019,Girls,Next least deprived,Wales,"2,113",74.2,(72.6 to 75.8),735,25.8,(24.2 to 27.4),10,0.4,(0.2 to 0.6),"2,103",73.8,(72.2 to 75.4),399,14,(12.8 to 15.3),336,11.8,(10.7 to 13.0),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Girls
2019,Girls,Middle deprived,Wales,"2,149",73.6,(72.0 to 75.2),769,26.4,(24.8 to 28.0),18,0.6,(0.4 to 1.0),"2,131",73,(71.4 to 74.6),422,14.5,(13.2 to 15.8),347,11.9,(10.8 to 13.1),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Girls
2019,Girls,Next most deprived,Wales,"2,331",71.3,(69.8 to 72.9),937,28.7,(27.1 to 30.2),15,0.5,(0.3 to 0.8),"2,316",70.9,(69.3 to 72.4),496,15.2,(14.0 to 16.4),441,13.5,(12.4 to 14.7),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Girls
2019,Girls,Most deprived fifth,Wales,"2,703",70,(68.6 to 71.5),"1,156",30,(28.5 to 31.4),18,0.5,(0.3 to 0.7),"2,685",69.6,(68.1 to 71.0),560,14.5,(13.4 to 15.7),596,15.4,(14.3 to 16.6),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Girls
2019,Girls,Total,Betsi Cadwaladr UHB,"2,442",72.1,(70.6 to 73.6),945,27.9,(26.4 to 29.4),14,0.4,(0.2 to 0.7),"2,428",71.7,(70.1 to 73.2),525,15.5,(14.3 to 16.8),420,12.4,(11.3 to 13.6),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Girls
2019,Girls,Total,Powys THB,381,74.6,(70.6 to 78.1),130,25.4,(21.9 to 29.4),-,-,-,-,-,-,68,13.3,(10.6 to 16.5),62,12.1,(9.6 to 15.3),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Girls
2019,Girls,Total,Hywel Dda UHB,"1,320",72,(69.9 to 74.0),513,28,(26.0 to 30.1),-,-,-,-,-,-,283,15.4,(13.9 to 17.2),230,12.5,(11.1 to 14.1),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Girls
2019,Girls,Total,Swansea Bay UHB,"1,356",72.7,(70.6 to 74.7),509,27.3,(25.3 to 29.4),6,0.3,(0.1 to 0.7),"1,350",72.4,(70.3 to 74.4),265,14.2,(12.7 to 15.9),244,13.1,(11.6 to 14.7),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Girls
2019,Girls,Total,Cardiff and Vale UHB,"1,887",79.2,(77.5 to 80.8),495,20.8,(19.2 to 22.5),19,0.8,(0.5 to 1.2),"1,868",78.4,(76.7 to 80.0),268,11.3,(10.0 to 12.6),227,9.5,(8.4 to 10.8),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Girls
2019,Girls,Total,Cwm Taf Morgannwg UHB,"1,677",69.8,(68.0 to 71.6),725,30.2,(28.4 to 32.0),10,0.4,(0.2 to 0.8),"1,667",69.4,(67.5 to 71.2),360,15,(13.6 to 16.5),365,15.2,(13.8 to 16.7),3. CMP_InteractiveDataTables_2020.xlsx (live.com),Girls
